업종명,업소명,소재지(도로명),소재지(지번),위도,경도,데이터기준일자
일반음식점,은정이네식당,제주특별자치도 서귀포시 중정로91번길 9 (서귀동),제주특별자치도 서귀포시 서귀동 272번지 40호 ,33.2492238,126.565603,2018-02-23
일반음식점,마라도에서온자장면집,제주특별자치도 서귀포시 안덕면 화순해안로 109,제주특별자치도 서귀포시 안덕면 화순리 775번지 6호 ,33.2392085,126.3366666,2018-02-23
일반음식점,착한전복,제주특별자치도 서귀포시 천제연로 119 (색달동),제주특별자치도 서귀포시 색달동 2481번지 10호 ,33.254619,126.4182628,2018-02-23
일반음식점,만원의행복,제주특별자치도 서귀포시 중앙로54번길 35 (서귀동),제주특별자치도 서귀포시 서귀동 277번지 12호 6호 ,33.2632078,126.5752502,2018-02-23
일반음식점,사계등대식당,제주특별자치도 서귀포시 안덕면 형제해안로 24,제주특별자치도 서귀포시 안덕면 사계리 2147번지 3호 ,33.2278994,126.3041056,2018-02-23
일반음식점,장수마을밥상,제주특별자치도 서귀포시 태평로537번길 40-2 (동홍동),제주특별자치도 서귀포시 동홍동 648번지 4호 ,33.253034,126.5710876,2018-02-23
일반음식점,무릉수다뜰,제주특별자치도 서귀포시 대정읍 서삼중로 117,제주특별자치도 서귀포시 대정읍 무릉리 3296번지 ,33.27183,126.1994377,2018-02-23
일반음식점,대물설렁탕,제주특별자치도 서귀포시 표선면 표선중앙로 78,제주특별자치도 서귀포시 표선면 표선리 699번지 3호 외1필지 ,33.3263011,126.8323885,2018-02-23
일반음식점,서작가초밥집,제주특별자치도 서귀포시 태평로 416-1 (서귀동),제주특별자치도 서귀포시 서귀동 573번지 1호 ,33.2448293,126.5648905,2018-02-23
일반음식점,용왕식당,제주특별자치도 서귀포시 동문로 38 (서귀동),제주특별자치도 서귀포시 서귀동 270번지 4호 ,33.2503391,126.5646674,2018-02-23
일반음식점,규영이네,제주특별자치도 서귀포시 남원읍 한신로 234-5,제주특별자치도 서귀포시 남원읍 의귀리 801번지 ,33.3105664,126.7163723,2018-02-23
일반음식점,라사니아흑돼지전문점,제주특별자치도 서귀포시 성산읍 일주동로 5199,제주특별자치도 서귀포시 성산읍 신산리 1181번지 A동 102호 ,33.416346,126.889907,2018-02-23
일반음식점,더클리프,제주특별자치도 서귀포시 중문관광로 154-17 2층 (색달동),제주특별자치도 서귀포시 색달동 2950번지 5호 외6필지 1 2층 ,33.2444327,126.4161942,2018-02-23
일반음식점,짜장왕,제주특별자치도 서귀포시 표선면 표선중앙로 73,제주특별자치도 서귀포시 표선면 표선리 570번지 2호 ,33.3268084,126.8324494,2018-02-23
